time,ax,ay,az,atotal
0.006539106369018555,-0.39,-0.48,0.53,0.81
0.013615846633911133,-0.48,-0.15,0.7,0.86
0.04182887077331543,-0.48,0.01,0.79,0.92
0.043992042541503906,-0.47,-0.04,0.94,1.05
0.04581499099731445,-0.24,0.06,1.02,1.04
0.05408215522766113,0.22,0.25,0.59,0.67
0.06378698348999023,0.45,0.23,0.15,0.52
0.07406401634216309,0.23,0.35,-0.02,0.41
0.08410286903381348,0.01,0.52,-0.34,0.62
0.09404110908508301,-0.05,0.39,-0.65,0.75
0.10435104370117188,0.08,0.34,-0.68,0.76
0.1146090030670166,1.54,-0.48,0.39,1.65
0.14799904823303223,1.08,-0.3,-0.29,1.15
0.15029096603393555,0.56,0.16,-1.45,1.56
0.15210413932800293,1.17,0.13,-2.86,3.09
0.1549980640411377,1.63,0.47,-4.38,4.69
0.16434788703918457,1.69,0.63,-5.53,5.81
0.1742699146270752,1.95,0.56,-6.57,6.87
0.18462586402893066,2.04,0.5,-7.22,7.51
0.1945631504058838,1.66,0.56,-7.07,7.28
0.20513105392456055,1.25,0.46,-7.99,8.1
0.21547698974609375,0.68,-0.04,-8.95,8.97
0.2420032024383545,1.1,-1.0,-8.96,9.08
0.24430394172668457,1.57,-1.13,-9.04,9.24
0.24617314338684082,1.3,-1.03,-9.18,9.32
0.25501298904418945,0.43,-1.04,-8.73,8.8
0.2648918628692627,-3.58,1.18,6.36,7.39
0.2750680446624756,-3.46,4.65,9.77,11.35
0.285351037979126,-2.93,4.09,-2.46,5.6
0.2954728603363037,-2.59,3.04,-4.52,6.03
0.30553507804870605,-2.66,3.85,-2.73,5.41
0.3160731792449951,0.32,2.38,-4.27,4.89
0.3466830253601074,1.75,0.59,-4.63,4.98
0.34892797470092773,1.29,-1.05,-5.22,5.47
0.35075902938842773,1.21,-3.54,-7.59,8.46
0.355396032333374,1.14,-7.71,-9.31,12.14
0.3656342029571533,0.8,-5.02,-9.53,10.8
0.3755619525909424,-1.73,1.82,-10.44,10.73
0.38565516471862793,-6.65,2.02,-12.76,14.52
0.3956491947174072,-6.34,-3.47,-16.64,18.14
0.40621399879455566,-3.02,-7.16,-18.67,20.22
0.4162418842315674,-1.92,-6.25,-18.13,19.27
0.44396519660949707,-2.25,-5.05,-17.94,18.77
0.44625401496887207,-1.89,-6.04,-18.3,19.36
0.44805097579956055,-1.97,-6.94,-18.46,19.81
0.45856690406799316,-2.56,-7.17,-17.99,19.53
0.4663400650024414,-3.32,-7.31,-16.31,18.17
0.4760148525238037,-3.24,-6.6,-13.51,15.38
0.48590588569641113,0.86,-6.22,-13.92,15.27
0.4963350296020508,4.27,-6.5,-12.78,14.96
0.5062801837921143,8.91,-6.85,-12.49,16.8
0.5170471668243408,12.44,-6.71,-12.12,18.61
0.5481431484222412,13.37,-7.16,-7.97,17.13
0.550433874130249,12.37,-6.53,-2.8,14.26
0.5522470474243164,10.48,-4.69,0.67,11.5
0.5571200847625732,8.81,-2.96,2.45,9.61
0.566612958908081,8.41,-1.41,2.83,8.98
0.576667070388794,10.95,-0.48,1.3,11.03
0.5865399837493896,18.44,-2.6,-0.89,18.64
0.5974400043487549,28.76,-7.31,-0.89,29.68
0.6074600219726562,37.6,-12.68,1.98,39.72
0.6179049015045166,41.65,-16.58,6.82,45.34
0.6472651958465576,41.03,-16.63,11.09,45.63
0.6495840549468994,36.8,-12.17,11.37,40.39
0.6513431072235107,33.56,-7.04,9.33,35.53
0.6578249931335449,34.01,-5.43,5.92,34.94
0.668086051940918,36.78,-7.26,4.21,37.72
0.677480936050415,38.55,-9.64,5.83,40.16
0.6880500316619873,37.69,-10.38,11.21,40.66
0.6979119777679443,35.15,-9.45,17.28,40.29
0.7084119319915771,32.31,-7.23,20.41,38.89
0.7178440093994141,30.16,-5.53,19.99,36.6
0.7456438541412354,29.2,-5.49,16.58,34.02
0.7479829788208008,28.06,-5.57,12.24,31.11
0.7497918605804443,26.22,-4.74,8.86,28.07
0.7598440647125244,23.82,-4.13,6.27,24.97
0.7677910327911377,21.32,-3.87,4.9,22.21
0.7780230045318604,19.54,-4.24,4.61,20.51
0.7887229919433594,18.16,-5.56,4.91,19.61
0.7979860305786133,16.79,-6.64,6.2,19.09
0.8090929985046387,15.19,-7.18,7.43,18.37
0.8184421062469482,13.69,-8.04,8.09,17.81
0.8448150157928467,12.56,-8.81,7.74,17.18
0.8471040725708008,11.78,-10.08,6.68,16.88
0.8489360809326172,11.21,-11.72,5.77,17.21
0.8578879833221436,10.53,-13.03,5.34,17.58
0.8680059909820557,10.09,-14.12,5.32,18.15
0.8785150051116943,10.21,-15.43,4.69,19.08
0.8879711627960205,10.8,-16.95,4.91,20.68
0.898298978805542,11.81,-18.36,6.17,22.68
0.9089601039886475,12.8,-19.54,6.31,24.19
0.919672966003418,13.57,-20.96,5.89,25.65
0.94759202003479,14.07,-22.28,5.42,26.9
0.9499549865722656,14.09,-23.25,5.03,27.64
0.9517560005187988,14.05,-23.65,4.73,27.91
0.9582889080047607,14.1,-23.94,4.2,28.09
0.9687459468841553,14.28,-24.15,3.44,28.26
0.9786319732666016,14.2,-24.03,2.69,28.04
0.988638162612915,14.35,-23.76,2.05,27.83
0.9989988803863525,14.86,-23.88,2.43,28.23
1.0089972019195557,15.11,-25.73,2.67,29.95
1.0188548564910889,15.2,-26.86,1.87,30.91
1.0526859760284424,14.57,-27.38,1.79,31.06
1.0550100803375244,13.4,-28.56,1.66,31.59
1.0569541454315186,11.29,-29.56,0.98,31.65
1.0596790313720703,8.26,-29.37,0.13,30.5
1.0688011646270752,3.9,-27.6,-0.64,27.88
1.0795729160308838,-1.86,-24.73,-1.75,24.86
1.0890848636627197,-9.28,-21.39,-3.08,23.51
1.0992019176483154,-16.3,-18.25,-4.11,24.81
1.1095879077911377,-20.39,-18.94,-2.45,27.93
1.1213281154632568,-22.96,-23.38,0.48,32.77
1.1492249965667725,-25.22,-27.61,7.22,38.08
1.1515610218048096,-29.33,-28.11,17.41,44.19
1.1533381938934326,-35.64,-24.13,25.83,50.19
1.1599390506744385,-38.67,-21.64,30.54,53.81
1.1715800762176514,-37.48,-23.06,30.8,53.71
1.1802098751068115,-33.84,-24.85,27.92,50.42
1.1903831958770752,-29.15,-24.94,23.86,45.17
1.2015149593353271,-22.93,-25.91,18.93,39.43
1.2101151943206787,-16.69,-26.79,14.0,34.52
1.220958948135376,-10.57,-26.94,9.59,30.48
1.2499899864196777,-4.29,-26.84,5.4,27.71
1.2522718906402588,1.6,-26.84,1.79,26.94
1.2539410591125488,6.95,-26.99,-1.08,27.89
1.2598669528961182,11.62,-27.23,-3.66,29.83
1.275202989578247,15.28,-27.33,-5.71,31.82
1.279918909072876,18.08,-27.43,-6.84,33.55
1.2902350425720215,20.44,-27.67,-7.17,35.14
1.30253005027771,22.29,-27.63,-6.09,36.01
1.3110589981079102,22.64,-27.14,-4.06,35.57
1.3214690685272217,22.31,-25.67,-1.63,34.04
1.3497579097747803,21.64,-23.54,1.13,31.99
1.3519539833068848,20.94,-21.32,3.4,30.07
1.3537609577178955,20.26,-19.89,4.42,28.73
1.3609120845794678,20.01,-19.32,4.43,28.16
1.3708460330963135,19.76,-19.04,4.44,27.79
1.382538080215454,18.72,-18.57,4.13,26.68
1.3912699222564697,17.5,-17.5,3.11,24.94
1.4013478755950928,16.17,-16.13,1.73,22.9
1.4128320217132568,14.32,-14.87,0.22,20.64
1.4216639995574951,12.88,-13.6,-0.8,18.74
1.45082688331604,12.06,-11.72,-0.86,16.83
1.4532511234283447,11.67,-9.34,0.26,14.94
1.4550490379333496,11.59,-7.0,1.89,13.67
1.4613878726959229,11.47,-5.1,3.81,13.11
1.4752650260925293,11.93,-3.8,4.33,13.24
1.4816901683807373,12.24,-2.34,3.52,12.94
1.4929029941558838,12.38,-0.32,3.88,12.97
1.5014889240264893,12.53,1.95,6.52,14.25
1.5128228664398193,12.93,3.27,8.31,15.71
1.5215699672698975,13.23,3.46,8.78,16.25
1.5475900173187256,12.01,4.11,10.1,16.22
1.549903154373169,9.3,6.73,12.11,16.68
1.5517160892486572,8.11,10.44,14.39,19.54
1.5616910457611084,9.53,12.55,16.23,22.62
1.572756052017212,15.14,11.71,18.35,26.51
1.5821669101715088,25.64,9.22,19.8,33.68
1.5920131206512451,37.49,6.75,19.55,42.81
1.6035311222076416,47.46,4.42,18.67,51.19
1.6121790409088135,53.15,2.71,18.58,56.36
1.6238439083099365,53.16,2.02,19.12,56.52
1.6509380340576172,49.27,2.46,19.27,52.96
1.6532440185546875,43.33,2.29,18.9,47.32
1.6550581455230713,36.09,0.62,17.52,40.12
1.6626431941986084,28.56,0.23,15.93,32.7
1.6746089458465576,22.38,3.12,14.86,27.04
1.682513952255249,18.92,7.88,13.14,24.34
1.6930160522460938,17.96,11.46,10.38,23.69
1.7027740478515625,17.66,13.35,7.17,23.27
1.7130510807037354,16.57,14.48,4.3,22.42
1.7236380577087402,15.44,15.08,1.31,21.62
1.7509281635284424,14.98,14.18,-1.5,20.68
1.753183126449585,14.28,12.34,-2.62,19.05
1.7549240589141846,12.68,10.23,-2.42,16.47
1.7625370025634766,10.34,8.67,-1.4,13.56
1.7743961811065674,8.18,6.91,0.1,10.7
1.7824609279632568,6.56,5.46,2.12,8.79
1.7928831577301025,6.23,4.15,4.39,8.67
1.8028090000152588,7.43,3.13,5.88,9.97
1.8127429485321045,9.01,2.12,5.88,10.96
1.8236069679260254,10.04,-1.38,4.97,11.28
1.8549649715423584,11.08,-6.13,5.39,13.76
1.8573381900787354,13.49,-9.67,5.71,17.55
1.8593699932098389,16.4,-11.7,5.26,20.82
1.8635129928588867,18.51,-12.72,4.69,22.94
1.8745369911193848,19.66,-13.39,4.01,24.12
1.8833320140838623,20.0,-14.18,3.39,24.75
1.8934459686279297,20.04,-15.34,3.15,25.43
1.9037458896636963,20.14,-16.48,3.52,26.26
1.9139201641082764,20.12,-17.27,3.53,26.74
1.924349069595337,19.82,-17.86,3.11,26.86
1.9538829326629639,19.45,-18.54,2.95,27.03
1.956151008605957,19.95,-19.46,3.32,28.06
1.9585011005401611,20.9,-20.72,3.81,29.67
1.9638750553131104,21.16,-21.6,4.23,30.53
1.9747779369354248,20.89,-22.15,4.61,30.79
1.9842798709869385,20.61,-23.17,4.94,31.4
1.9934849739074707,19.53,-24.61,5.55,31.9
2.0036840438842773,17.7,-25.84,6.04,31.89
2.0138180255889893,15.68,-26.82,6.45,31.72
2.024055004119873,12.18,-27.92,6.88,31.22
2.0538971424102783,6.56,-28.42,6.59,29.9
2.0560290813446045,-0.09,-28.94,6.14,29.58
2.05829119682312,-9.37,-30.19,5.84,32.14
2.064643144607544,-23.72,-28.36,5.64,37.39
2.0751988887786865,-36.46,-24.57,8.95,44.86
2.085175037384033,-43.92,-20.98,7.68,49.27
2.0947999954223633,-40.0,-15.97,12.64,44.88
2.1052169799804688,-22.94,-19.76,21.12,36.91
2.1145598888397217,-10.6,-27.57,24.95,38.66
2.12637996673584,-10.14,-27.5,30.7,42.44
2.152643918991089,-12.59,-24.92,35.3,45.0
2.1549389362335205,-8.94,-27.55,34.15,44.77
2.156843900680542,-1.89,-30.96,29.51,42.81
2.164828062057495,4.69,-30.96,24.1,39.51
2.175431966781616,10.61,-30.16,18.33,36.85
2.185922861099243,15.37,-29.89,12.91,36.0
2.1950249671936035,18.09,-29.33,8.55,35.5
2.205533981323242,19.22,-28.52,5.56,34.83
2.2166740894317627,19.79,-27.68,3.48,34.2
2.2254409790039062,20.2,-26.95,1.99,33.73
2.255321979522705,19.95,-26.08,1.18,32.85
2.2579450607299805,19.02,-25.26,0.94,31.63
2.2599620819091797,18.12,-24.83,0.91,30.75
2.265578031539917,17.86,-24.97,0.98,30.71
2.275635004043579,17.98,-25.68,0.67,31.35
2.286221981048584,17.59,-26.22,-0.04,31.57
2.295776128768921,16.63,-25.83,-0.56,30.72
2.3059520721435547,15.4,-24.64,-0.75,29.06
2.31701397895813,14.79,-23.42,-0.71,27.7
2.3263399600982666,15.15,-22.54,-0.84,27.17
2.35628604888916,15.85,-22.1,-1.15,27.22
2.3586130142211914,16.06,-21.65,-1.57,27.0
2.360398054122925,15.71,-20.66,-1.93,26.02
2.365741014480591,15.46,-19.77,-2.01,25.17
2.3764209747314453,15.68,-20.0,-1.55,25.46
2.38624906539917,14.97,-18.62,-0.81,23.9
2.396156072616577,14.5,-15.03,-0.24,20.88
2.406451940536499,14.33,-11.81,0.55,18.57
2.4171531200408936,14.79,-10.4,1.3,18.12
2.426424026489258,16.2,-10.44,3.34,19.55
2.456415891647339,18.38,-9.59,8.43,22.37
2.458883047103882,21.6,-6.55,16.35,27.87
2.4606759548187256,25.09,-2.24,25.14,35.58
2.46625018119812,26.75,1.61,30.93,40.92
2.477912187576294,25.84,3.78,32.57,41.74
